hoax,edar,pesan,sosial,media,informasi,sebar,kabar,berita,beranta,benar,bohong,kandung,broadcast,lansir,whatsapp,resah,viral,tidak,isu,presiden,tulis,isi,bahwa,id,kamis,masyarakat,jakarta,co,com,makan,palsu,info,hoaks,joko,imbau,widodo,khoax
0.020417,0.029147,0.089214,0,0,0,0,0.027239,0,0,0.01202,0,0.064682,0,0,0,0,0.021353,0.005154,0,0,0,0,0,0,0,0.026857,0.005805,0,0.008206,0.01872,0,0,0,0,0.019348,0,hoax
0.018218,0.026008,0.04549,0,0,0.008765,0,0,0,0.018188,0,0,0.019239,0,0,0,0,0,0.004599,0,0,0.012775,0,0,0,0,0,0.00518,0,0.007322,0.016704,0,0,0,0,0,0,hoax
0.033201,0.031598,0.082901,0,0,0.010649,0,0,0,0,0.013031,0,0,0,0,0,0,0,0.005587,0,0,0,0.018646,0,0,0,0.009705,0,0,0.017793,0,0.0208,0,0,0,0.062925,0,hoax
0.012942,0.04311,0.016157,0,0,0.006226,0,0.043166,0,0.012921,0.007619,0,0,0,0,0.014853,0.014378,0,0,0.021488,0,0,0,0,0,0,0.017024,0,0,0.005202,0.011866,0,0,0,0,0.012264,0,hoax
0,0.024081,0,0,0,0,0,0.006752,0,0,0,0,0.032065,0,0,0,0.011244,0,0.007665,0,0,0.007097,0.017052,0,0,0,0.004438,0.005755,0,0,0.01856,0.009511,0,0,0,0,0,hoax
0.02936,0.018628,0.024437,0,0.01076,0,0,0.013057,0.038694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016694,0,0,0,0,0,0,0,0,0,hoax
0.011067,0.021066,0.027634,0,0,0.010649,0,0,0.014585,0,0,0,0,0,0,0,0,0,0.022349,0.018375,0,0,0,0,0,0,0,0.012586,0.027997,0,0,0,0,0,0,0,0,hoax
0,0.012954,0.016993,0.016993,0.014965,0.052388,0.017404,0,0.017938,0.027178,0,0,0,0,0,0.031243,0,0,0.006872,0,0,0,0,0,0,0,0,0,0,0.010942,0,0,0,0.134196,0,0,0,hoax
0.015581,0.007415,0.019453,0,0,0,0,0,0.010267,0.015556,0,0,0,0,0,0.017882,0,0,0.015733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014765,0,hoax
0,0,0,0.010871,0.009573,0.008378,0.011133,0,0,0,0,0,0,0,0,0,0,0.018213,0.004396,0,0,0,0,0.013116,0.01839,0,0.007636,0,0,0.013999,0,0,0,0.021462,0,0,0,hoax
0.005776,0.010995,0,0.007212,0.006351,0.016675,0,0,0,0,0.006802,0,0,0,0,0,0,0.024165,0,0,0,0,0,0.008701,0,0.013067,0,0,0,0,0,0,0,0,0,0,0,hoax
0,0.014637,0,0.0192,0.016908,0.014798,0.019664,0,0,0,0,0,0,0,0,0,0.03417,0.032168,0.015528,0,0,0,0,0,0,0,0.013486,0,0,0.024725,0,0,0,0.075812,0,0.029147,0,hoax
0,0,0,0,0,0.018086,0.024034,0,0,0,0.011066,0,0,0,0,0,0,0,0.009489,0,0,0.01318,0.015834,0,0,0,0.008242,0,0,0.007555,0,0.017664,0,0.04633,0,0,0,hoax
0,0.015948,0.034868,0,0,0,0.007142,0.014905,0,0,0,0,0,0,0.010676,0,0,0,0.00282,0,0,0.015667,0,0,0,0.012636,0,0,0,0.00449,0,0,0,0.055071,0,0,0,hoax
0.014802,0.014088,0,0.01848,0.016274,0,0.018927,0.059245,0,0,0,0.026503,0,0,0,0,0,0,0,0,0,0.020759,0,0,0.031263,0,0,0,0,0,0,0,0,0.036485,0,0,0,hoax
0.010965,0.010435,0,0.013689,0.012055,0.01055,0.01402,0,0,0,0,0,0,0,0,0.025168,0,0.045869,0.005536,0.018205,0,0,0,0.033033,0,0,0,0,0,0,0,0,0,0.027026,0,0,0,hoax
0.016917,0.0161,0,0.01056,0.0093,0.024416,0,0.011285,0,0,0.009959,0,0,0,0,0,0,0,0.008541,0,0,0.011862,0,0,0,0,0.014835,0.00481,0,0.006799,0,0,0,0,0,0,0,hoax
0.013305,0.012663,0.016611,0.033223,0.029257,0.025605,0,0.017751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01866,0,0.020043,0.028102,0,0.023336,0,0,0,0,0,0.031243,0.06559,0,0.025217,0,hoax
0.016222,0.030877,0,0.020252,0.017835,0,0,0,0,0,0,0,0,0,0,0,0.072085,0,0,0,0,0.02275,0,0.024435,0.034261,0.018348,0,0,0.041037,0,0,0,0.038091,0.039983,0,0,0,hoax
0.044268,0.021066,0,0.027634,0.024336,0.074542,0.028301,0,0,0,0.013031,0,0,0,0,0,0,0.023149,0.005587,0,0,0,0,0.033342,0,0,0.009705,0,0,0,0,0.0208,0,0,0,0,0,hoax
0.011171,0.021264,0.013947,0,0,0.042998,0,0.014905,0,0,0,0,0,0,0,0,0,0,0.01128,0,0,0,0,0,0,0,0.02939,0,0,0,0,0,0,0,0,0,0,hoax
0.026711,0,0,0.011116,0.009789,0.008567,0,0,0,0,0.010484,0,0,0,0,0,0,0.037247,0,0,0,0.012487,0.015001,0.013412,0.018805,0,0,0.005063,0,0,0,0.016734,0,0,0,0,0,hoax
0.010297,0,0,0.006428,0.005661,0.004954,0,0,0,0,0,0,0,0,0.009841,0,0.022879,0,0.005199,0.017097,0,0,0,0.007756,0,0,0.004515,0,0,0.004139,0,0.174179,0,0,0,0,0,hoax
0.005263,0.015027,0,0.013141,0.011573,0.005064,0.013459,0,0.006936,0,0.006197,0.009423,0,0,0,0,0,0,0.002657,0.05243,0,0,0,0.007928,0,0,0.018461,0.008978,0,0.004231,0.019303,0.108808,0,0.025945,0,0.019949,0,hoax
0.023683,0.02254,0.029568,0,0,0.034183,0.015141,0,0.046819,0.047289,0,0.021203,0,0,0,0,0.026311,0,0.029892,0.039322,0,0,0.019951,0.017838,0,0,0.031154,0,0,0.009519,0,0,0.027806,0,0,0.022443,0,hoax
0.005457,0.005194,0,0.006813,0.006,0.031505,0,0,0.021576,0,0.006425,0.029312,0,0,0,0,0,0,0.00551,0,0,0,0.009194,0,0.011526,0,0.009571,0.006206,0,0.004387,0,0.010256,0,0,0,0.010342,0,hoax
0.0124,0.011801,0,0.023221,0.02045,0.035794,0.007927,0,0.040855,0,0.0073,0.044403,0,0,0,0,0,0,0.00313,0,0,0,0.010446,0,0.026189,0,0.010874,0.003525,0,0,0,0,0,0,0,0.01175,0,hoax
0.016333,0.007772,0.061176,0.020392,0.026937,0,0.031327,0,0.032289,0.065226,0,0.043868,0.034497,0,0,0,0,0,0,0,0.081722,0,0,0.012302,0.017249,0,0.014324,0.009288,0,0.006565,0,0,0,0,0.030197,0,0.029245,hoax
0.006265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018979,0,0,0,0,0.018876,0,0,0,0.003563,0,0.005037,0,0,0,0,0,0,0,hoax
0.011724,0.005579,0,0.007319,0.006445,0.011282,0,0,0.023178,0,0.006903,0,0,0,0,0,0,0,0.00296,0,0,0,0,0,0.012381,0,0.005141,0,0.01483,0,0,0,0,0,0,0,0,hoax
0.038825,0.006159,0.040394,0,0.007114,0.031132,0.04137,0.051799,0.008528,0,0.022858,0.011586,0,0,0,0.029706,0.014378,0,0,0,0,0.01815,0,0.009747,0,0,0.011349,0,0,0.005202,0.023733,0.012162,0,0,0,0,0,hoax
0,0.020616,0.027044,0,0,0.034739,0.009232,0,0.028548,0,0.008502,0.012928,0,0,0,0,0.032086,0,0.003645,0.011988,0,0.010126,0,0,0,0,0.025328,0,0,0,0.039724,0.013571,0,0.142379,0,0.013685,0,hoax
0.060727,0.014449,0.009477,0.028431,0.016692,0.029216,0.019412,0,0.010004,0,0.008938,0,0,0,0,0.017424,0,0,0.007665,0.025207,0,0.010646,0,0.011435,0,0.008586,0.006657,0,0,0,0.01392,0,0,0,0,0,0,hoax
0.031662,0,0,0.023718,0.020887,0.01828,0.040485,0,0.05842,0,0.014913,0,0,0,0,0,0,0.039737,0.006394,0.021028,0,0,0,0.009539,0.013375,0,0,0,0,0,0.011613,0,0,0,0,0,0,hoax
0.008458,0,0,0,0,0,0,0,0.011147,0,0,0,0,0,0,0,0,0.035385,0.00427,0,0,0,0.028501,0,0,0,0,0.00481,0,0.013599,0,0.031795,0,0,0,0,0,hoax
0.015053,0,0,0.012529,0.01655,0.033797,0.019247,0,0,0,0,0.008984,0,0,0.009591,0,0,0,0,0,0,0.021111,0.008454,0,0,0,0.0088,0,0,0.004034,0,0.009431,0,0,0,0,0,hoax
0.014182,0,0,0.008853,0.007796,0.040938,0.018133,0,0,0,0,0.012696,0,0,0,0,0,0,0.00358,0.011773,0,0,0,0,0,0,0.012437,0.008064,0,0.0057,0,0,0,0,0,0,0,hoax
0.028649,0,0,0.023845,0.020999,0,0.036632,0.025482,0,0,0.011245,0,0,0,0,0,0,0,0.009643,0.047567,0,0,0,0,0,0,0.025124,0.00543,0,0.007677,0,0,0,0,0,0.036199,0,hoax
0.01528,0.014542,0,0.009538,0.0084,0.007351,0.029306,0.010193,0,0,0,0,0,0,0,0,0,0,0.003857,0.101477,0,0,0,0,0,0,0.0067,0.004344,0.019327,0,0,0,0,0,0,0,0,hoax
0.047639,0,0,0,0,0.019645,0.078317,0.027239,0.071754,0,0,0,0,0.045364,0,0.031243,0,0,0.003436,0,0,0,0,0.010252,0,0,0.023873,0.015479,0,0.005471,0,0,0,0,0,0,0,hoax
0.00731,0.006957,0,0,0,0.014067,0,0,0,0.007298,0.004303,0,0,0,0,0,0,0,0.00369,0.006068,0,0,0.006158,0,0,0,0.022436,0,0,0.008814,0,0.013738,0.008582,0,0,0,0,hoax
0.010165,0.009674,0,0,0,0.00489,0,0,0,0,0,0,0,0,0,0,0,0,0.010263,0.025315,0,0,0,0,0,0,0.013371,0,0,0.008171,0,0,0,0,0,0.009632,0,hoax
0,0,0.07392,0,0,0.056972,0.025235,0,0,0.078815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017308,0,0,0.031731,0,0,0,0.145939,0,0,0,hoax
0.018503,0.01761,0.05775,0.01155,0.010172,0.017804,0.023658,0,0,0.055417,0.021786,0,0,0,0,0,0,0,0.014012,0,0,0,0.015587,0,0,0,0.024339,0,0,0.007437,0,0,0,0.022803,0,0,0,hoax
0.023219,0.022098,0,0,0,0.011171,0.014844,0,0,0,0,0,0,0.077385,0,0,0,0,0,0,0,0,0.01956,0,0.02452,0,0.010181,0.006601,0.02937,0,0,0,0.054522,0,0,0,0,hoax
0.016562,0,0.020677,0,0.009105,0.047808,0.010588,0,0,0,0,0,0,0.018399,0,0,0,0.017321,0,0,0,0,0,0.012474,0.01749,0.009367,0,0.004709,0.020949,0.013314,0,0,0,0,0,0.015695,0,hoax
0.017329,0.010995,0.050482,0.021635,0.019053,0.022233,0.014772,0.007707,0,0,0,0.010343,0,0.038504,0,0.053036,0,0,0.014581,0.009591,0,0.024303,0,0.008701,0,0.006534,0.005066,0,0,0,0,0,0,0,0,0,0,hoax
0.010208,0.048578,0.063725,0,0,0.019645,0,0.040859,0,0.020383,0,0,0,0.022682,0,0.046864,0,0,0,0,0,0.014317,0.017199,0,0,0,0.017904,0,0,0.008206,0,0.019186,0,0,0,0.019348,0,hoax
0.006471,0.006159,0.008079,0,0,0,0,0,0,0,0,0,0,0.100643,0,0,0,0,0.003267,0,0,0.009075,0,0,0,0,0,0,0.01637,0.005202,0,0,0,0,0,0,0,hoax
0.014802,0.014088,0.03696,0,0.008137,0.021364,0.009463,0.009874,0,0.044334,0.008715,0.026503,0,0,0,0,0,0,0.003736,0,0,0.01038,0,0,0,0,0.00649,0,0.018723,0,0,0,0,0,0,0,0,hoax
0.075356,0.030737,0.0672,0,0.011836,0,0,0,0.042563,0.04299,0,0.019275,0,0,0,0,0,0.022518,0,0,0,0.015098,0.018137,0.016216,0,0,0,0.018364,0,0.008654,0,0,0,0,0,0,0,hoax
0.010573,0,0.0132,0,0.011625,0,0.027038,0.028212,0.013934,0,0,0.056793,0,0.093967,0,0,0,0,0.016013,0.017555,0,0,0,0,0,0,0.009272,0,0,0.016999,0,0,0,0,0,0.020039,0,hoax
0.034659,0.010995,0.007212,0,0.006351,0.027791,0.007386,0,0.007613,0.011534,0.013603,0,0,0,0,0,0,0,0.008749,0,0,0,0,0,0,0,0.015197,0.006569,0.014613,0,0,0,0,0,0,0,0,hoax
0.017674,0.008411,0.011033,0.011033,0.009716,0.017006,0.011299,0.01179,0.046586,0,0.010405,0.015823,0,0,0,0,0.019635,0,0.008923,0,0,0,0,0,0,0,0,0.005025,0,0.007104,0,0.049827,0,0,0,0,0,hoax
0.033514,0,0.027895,0,0.012283,0.064496,0.014284,0,0.014723,0,0.013154,0.020002,0,0.024822,0,0,0,0,0.00564,0,0,0.015667,0,0.016828,0,0,0.019594,0,0,0.00898,0,0,0,0,0,0,0,hoax
0.010965,0,0.034222,0,0,0.005275,0.01402,0,0,0,0.006455,0,0,0.048724,0,0.037751,0,0.022935,0,0,0,0,0.009237,0,0,0,0,0,0,0,0.010054,0.020608,0.012873,0,0,0,0,hoax
0.038199,0.024237,0.047691,0.015897,0.013999,0.036756,0,0,0,0.025424,0,0.022799,0,0.056583,0,0,0,0,0,0,0,0,0,0,0,0,0.011166,0,0,0,0,0,0.029899,0,0,0.024132,0,hoax
0,0.015873,0.041645,0,0,0.032097,0.010663,0,0,0.033302,0.009819,0.074657,0,0.111173,0,0,0.018529,0,0,0,0,0,0.0281,0,0,0,0.014626,0,0,0,0,0,0,0,0,0.03161,0,hoax
0,0,0.025786,0,0,0,0.017606,0.009185,0,0,0.008107,0.024654,0,0.015297,0,0,0,0,0,0,0,0,0,0,0,0.007787,0.006038,0.00783,0,0,0.025251,0,0,0,0,0,0,hoax
